,updated_day,ticker,id,title_positive,title_negative,title_compound_sentiment,teaser_positive,teaser_negative,teaser_compound_sentiment,body_positive,body_negative,body_compound_sentiment,value,all_compound_sentiment
13,2014-08-04,NE,4752689,33.3,0.0,45.88,8.3,0.0,45.88,19.2,1.0,98.73,6.41548568771,63.49666666666667
14,2014-08-29,COKE,4814985,31.4,0.0,67.05,11.8,0.0,67.05,12.4,0.7,99.54,-2.45719513789,77.88
15,2014-09-22,PERI,4866493,13.0,0.0,12.8,13.1,0.0,79.6,9.5,0.7,98.29,-0.851788756388,63.56333333333333
16,2014-09-24,VHC,4873140,32.4,0.0,34.0,14.1,0.0,73.51,14.8,0.0,97.12,0.183486238532,68.21
17,2014-10-01,LQDT,4892404,26.1,0.0,64.86,9.1,0.0,58.59,15.7,0.8,98.95,-3.06983883346,74.13333333333334
18,2014-10-08,BX,4906911,16.7,0.0,42.15,20.7,0.0,88.23,18.7,0.0,99.77,3.25442170974,76.71666666666665
19,2014-11-03,KR,4976444,22.5,0.0,49.39,15.6,0.0,58.59,17.4,2.1,99.11,3.09530344813,69.03
20,2014-11-03,RAND,4975456,17.0,0.0,59.94,28.1,0.0,81.26,11.7,0.9,98.88,19.61414791,80.02666666666666
21,2014-11-04,SGMS,4981257,23.1,0.0,40.19,7.8,0.0,40.19,16.6,0.4,99.47,20.293398533,59.949999999999996
22,2014-11-12,HZNP,5002647,15.5,24.5,-20.23,8.6,0.0,47.67,9.7,5.6,93.9,2.58272800646,40.446666666666665
23,2014-11-24,TMUS,5033099,27.6,0.0,63.69,14.3,0.0,67.05,19.7,2.4,99.91,-7.84381478922,76.88333333333333
24,2014-12-02,BCO,5050637,37.0,0.0,57.19,4.9,0.0,38.18,9.9,0.0,98.85,9.53237410072,64.74
25,2014-12-02,CVM,5049652,0.0,18.8,-65.97,3.6,16.1,-83.16,7.9,7.1,-68.22,9.53982300885,-72.45
26,2014-12-02,DOC,5051721,44.0,0.0,67.05,18.2,0.0,75.5,12.3,0.0,99.36,8.34411384217,80.63666666666667
27,2014-12-08,AMGN,5065051,11.1,0.0,25.0,6.1,0.0,42.15,8.5,2.5,97.8,-6.91894444772,54.98333333333333
28,2014-12-09,MRK,5066660,0.0,13.0,-20.23,5.5,0.0,42.15,10.1,1.3,99.03,5.08987065345,40.31666666666666
29,2014-12-16,SRC,5083359,47.8,0.0,65.97,19.9,0.0,88.6,9.6,1.2,97.79,8.47994228285,84.11999999999999
30,2014-12-17,BIOC,5087124,0.0,19.1,-38.18,0.0,21.5,-86.25,6.9,12.7,-99.04,-14.6953405018,-74.49
